,TEC,C_max,Rtime,Status,Gaps
1,114,88.99988908,3600.018236,9,0.044971434
1.1,125.4,78.99993568,3600.124784,9,0.501204476
1.2,136.8,66.99999532,3600.026459,9,0.147910669
1.3,148.2,57.4999979,3600.067169,9,0.25229455
1.4,158.5,44.5,1026.141865,Optimal1,0
1.5,171,43.83332958,3600.049009,9,0.034874705
1.6,182.4,42.49999932,3600.037172,9,0.043476565
1.7,193.8,41.16666507,3600.097816,9,0.04276816
1.8,205.2,39.49999894,3600.142139,9,0.037925881
1.9,216.6,38.33333331,3600.165346,9,0.050100548
2,228,37.16666466,3600.15942,9,0.056757367
2.1,239.4,36.16666383,3600.195805,9,0.072974591
2.2,250.8,34.99999889,3600.039238,9,0.078285132
2.3,262.2,34.16665226,3600.06373,9,0.092798353
2.4,273.6,32.66666466,3600.047607,9,0.103802052
2.5,285,31.99999437,3600.127481,9,0.092746249
2.6,296.4,31.16666236,3600.060036,9,0.069404656
2.7,304.5,29.66666667,8.904159546,Optimal1,4.00E-08
2.8,319.2,29.66666666,1.796451569,Optimal1,0
2.9,330.6,29.66666655,4.936340332,Optimal1,3.34E-09
3,342,29.66666569,6.404745102,Optimal1,0
